"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155",1086.97937785928,4.58947409897387,0.159245261957943,28.820161068189,1.1991081242125e-182,1.0625297088647e-178
"FBgn0003360",6409.61215561152,3.20626080618301,0.132624078444365,24.1755557798504,4.02245032125235e-129,1.78214661483085e-125
"FBgn0029167",5430.09713489188,2.18548808011786,0.101885307722505,21.450473370216,4.5202887151727e-102,1.33514261017151e-98
"FBgn0025111",2192.33860897001,-2.88022498133459,0.138061972427542,-20.8618269802439,1.19036431841706e-96,2.63695455637339e-93
"FBgn0039827",390.903785965807,4.08689132072225,0.210555989800767,19.4099979040699,6.35296697858157e-84,1.12587280794423e-80
"FBgn0035085",928.268824952693,2.55429488818144,0.139191322294304,18.3509635951347,3.24309570331568e-75,4.78951183784671e-72
"FBgn0034736",330.384370147413,3.47477302483848,0.201491958144917,17.245219396495,1.21550436490669e-66,1.53865488249117e-63
"FBgn0029896",708.941387122664,2.40469792136701,0.143926882378921,16.7077746812864,1.1504947581959e-62,1.27431675654674e-59
"FBgn0264475",955.460561968005,2.56543716430023,0.157059521456512,16.3341715326094,5.63930880650274e-60,5.55221281493564e-57
"FBgn0027279",4342.48733155129,1.20816065384374,0.0857058380357322,14.0965969359058,3.98529471716852e-45,3.53136964888302e-42
"FBgn0038832",429.85325372987,2.72620112422683,0.195595156091352,13.9379787245527,3.723361731806e-44,2.99933711868481e-41
"FBgn0264753",170.064962982784,3.22830745872517,0.233029752219912,13.8536278220756,1.20946046172605e-43,8.93085762612881e-41
"FBgn0000071",468.061193847421,-2.66300962305214,0.198841910144165,-13.3925972704718,6.68031305320947e-41,4.55340415111455e-38
"FBgn0011260",291.050091664814,-2.18089649100541,0.164774857836235,-13.235614459901,5.46479676759558e-40,3.45882601126174e-37
"FBgn0051092",230.576346820423,-2.26734536255363,0.17675385492977,-12.8276996473684,1.1471993112724e-37,6.77688873145649e-35
"FBgn0034897",1340.89535480923,1.93860682297409,0.154238112543086,12.5689221101726,3.12961625969822e-36,1.73322060482412e-33
"FBgn0039419",2681.66490923313,1.17564763091262,0.095357752589204,12.328810180513,6.33755938041908e-35,3.30335962764079e-32
"FBgn0261673",95.3399138778796,-3.28591885371421,0.270885463786155,-12.1302886016365,7.29917420150535e-34,3.55058551490187e-31
"FBgn0040091",1618.14771155954,1.56072355970174,0.128699958702047,12.1268380770422,7.61326315123976e-34,3.55058551490187e-31
"FBgn0034010",781.85651768165,1.45509591313683,0.122720490547184,11.8569923135808,1.97959007244935e-32,8.77057381598686e-30
"FBgn0024288",86.5830978422707,4.57956463160937,0.390123040838355,11.7387699577244,8.06508895277314e-32,3.30307219207225e-29
"FBgn0035189",307.046879633303,-2.96779730902949,0.252850537927951,-11.7373580983844,8.20083379139933e-32,3.30307219207225e-29
"FBgn0016715",202.184429349162,2.27394341656503,0.194411612425434,11.6965411077859,1.32755108320432e-31,5.11453484707541e-29
"FBgn0262733",551.05521381068,-2.05781941983045,0.178834333849656,-11.5068475696643,1.21851603845589e-30,4.49886275698234e-28
"FBgn0052407",285.536543352652,2.1460000206682,0.187039124328073,11.4735354347791,1.79185859977073e-30,6.29358229380094e-28
"FBgn0023479",4584.77397460912,1.53276492251207,0.133621693699562,11.4709287098124,1.84666673782671e-30,6.29358229380094e-28
"FBgn0032405",116.004036590707,-2.44027904114232,0.216121419094674,-11.291241059607,1.44975018861558e-29,4.7578653412306e-27
"FBgn0037754",394.46690523613,2.40695900106157,0.213689021216821,11.2638402635545,1.97940786521218e-29,6.26411896201611e-27
"FBgn0024315",135.234818842261,2.34519439874094,0.210442205301842,11.1441257488115,7.64917951775193e-29,2.33721998988965e-26
"FBgn0085359",101.005252565576,4.99713286842362,0.448727833527445,11.1362222154601,8.35904001815201e-29,2.46898178669483e-26
"FBgn0037290",101.938494119254,-2.99049203037813,0.277203293223304,-10.7880826219806,3.91880052204118e-27,1.12014488470345e-24
"FBgn0039109",663.677995430373,1.3383422516717,0.124804115206738,10.7235426448458,7.89213340641326e-27,2.18538106606962e-24
"FBgn0001226",1764.80040448986,-1.71306233351837,0.161712626869032,-10.5932503026232,3.20274114127472e-26,8.5998452281319e-24
"FBgn0003748",1600.66572856138,-1.07136921398614,0.101572296131186,-10.5478487224746,5.19734625005497e-26,1.35452015063933e-23
"FBgn0033913",7588.25496510259,1.16662713482028,0.110889596981559,10.5206184040356,6.94164662692069e-26,1.75742659317555e-23
"FBgn0026562",65115.0960323737,2.35531388639513,0.224521158313243,10.4903872048847,9.56356613626319e-26,2.35396554259523e-23
"FBgn0040827",316.744055947236,1.9838863157122,0.189599301675582,10.4635739592901,1.26973988016379e-25,3.04085542652198e-23
"FBgn0050147",1436.40038848633,0.961973181910587,0.0974906410712644,9.86733876544516,5.76744398377398e-23,1.34487687211109e-20
"FBgn0063649",839.910149302655,1.24262308668001,0.127071285547571,9.77894479720846,1.38648458038468e-22,3.15016406840734e-20
